,age,ast_per_g,award_share,blk_per_g,fg3_pct,fg_pct,ft_pct,g,link,mp_per_g,player,points_max,points_won,pts_per_g,stl_per_g,team_id,trb_per_g,votes_first,ws,ws_per_48
158,19,5.4,0.987,0.4,.399,.469,.872,51,/players/i/irvinky01.html,30.5,Kyrie Irving,600,592.0,18.5,1.1,CLE,3.7,117.0,4.1,.125
159,21,8.2,0.283,0.2,.340,.357,.803,41,/players/r/rubiori01.html,34.2,Ricky Rubio,600,170.0,10.6,2.2,MIN,4.2,0.0,2.0,.070
160,22,0.8,0.215,1.0,,.586,.665,46,/players/f/farieke01.html,22.5,Kenneth Faried,600,129.0,10.2,0.7,DEN,7.7,1.0,4.6,.212
161,20,1.1,0.078,0.4,.376,.493,.773,64,/players/l/leonaka01.html,24.0,Kawhi Leonard,600,47.0,7.9,1.3,SAS,5.1,1.0,5.5,.171
162,21,2.8,0.055,0.1,.306,.401,.798,59,/players/s/shumpim01.html,28.9,Iman Shumpert,600,33.0,9.5,1.7,NYK,3.2,1.0,2.4,.068
163,21,2.0,0.050,0.3,.414,.443,.868,66,/players/t/thompkl01.html,24.4,Klay Thompson,600,30.0,12.5,0.7,GSW,2.4,0.0,1.7,.050
164,22,4.1,0.047,0.1,.379,.448,.832,65,/players/t/thomais02.html,25.5,Isaiah Thomas,600,28.0,11.5,0.8,SAC,2.6,0.0,4.3,.124
165,20,3.8,0.035,0.2,.380,.415,.759,66,/players/k/knighbr03.html,32.3,Brandon Knight,600,21.0,12.8,0.7,DET,3.2,0.0,1.3,.029
166,23,2.1,0.023,0.5,.337,.452,.551,63,/players/p/parsoch01.html,28.6,Chandler Parsons,600,14.0,9.5,1.2,HOU,4.8,0.0,3.4,.090
167,23,2.3,0.007,0.3,.313,.428,.764,56,/players/b/brookma01.html,29.4,MarShon Brooks,600,4.0,12.6,0.9,NJN,3.6,0.0,0.8,.022
168,21,4.4,0.005,0.3,.305,.366,.789,66,/players/w/walkeke02.html,27.2,Kemba Walker,600,3.0,12.1,0.9,CHA,3.5,0.0,0.3,.009
169,20,1.1,0.002,0.0,.133,.347,.786,28,/players/s/selbyjo01.html,8.5,Josh Selby,600,1.0,2.3,0.3,MEM,0.5,0.0,-0.5,-0.105
170,22,6.5,1.000,0.2,.368,.429,.844,82,/players/l/lillada01.html,38.6,Damian Lillard,605,605.0,19.0,0.9,POR,3.1,121.0,5.8,.088
171,19,1.0,0.506,1.8,.000,.516,.751,64,/players/d/davisan02.html,28.8,Anthony Davis,605,306.0,13.5,1.2,NOH,8.2,0.0,6.1,.159
172,19,2.4,0.155,0.5,.386,.410,.786,56,/players/b/bealbr01.html,31.2,Bradley Beal,605,94.0,13.9,0.9,WAS,3.8,0.0,3.0,.082
173,19,0.5,0.060,1.6,.500,.608,.371,60,/players/d/drumman01.html,20.7,Andre Drummond,605,36.0,7.9,1.0,DET,7.6,0.0,4.5,.172
174,21,3.0,0.035,0.3,.310,.412,.746,61,/players/w/waitedi01.html,28.8,Dion Waiters,605,21.0,14.7,1.0,CLE,2.4,0.0,0.9,.026
175,20,1.2,0.013,0.2,.359,.439,.758,81,/players/b/barneha02.html,25.4,Harrison Barnes,605,8.0,9.2,0.6,GSW,4.1,0.0,2.8,.065
176,28,0.5,0.013,0.2,.421,.479,.759,56,/players/c/copelch01.html,15.4,Chris Copeland,605,8.0,8.7,0.3,NYK,2.1,0.0,2.1,.117
177,19,1.5,0.005,0.9,.222,.458,.749,78,/players/k/kiddgmi01.html,26.0,Michael Kidd-Gilchrist,605,3.0,9.0,0.7,CHA,5.8,0.0,2.1,.051
178,20,0.7,0.003,1.3,,.557,.789,62,/players/v/valanjo01.html,23.9,Jonas Valančiūnas,605,2.0,8.9,0.3,TOR,6.0,0.0,3.9,.127
